Title,Authors,cleaned_title,cleaned_authors
Uncertainty Propagation in Deep Neural Networks Using Extended Kalman Filtering,"Jessica S. Titensky, Hayden Jananthan, Jeremy Kepner",uncertainty propagation deep neural network using extended kalman filtering,Jessica S Titensky Hayden Jananthan Jeremy Kepner
Neural Network Topologies for Sparse Training,"Ryan A. Robinett, Jeremy Kepner",neural network topology sparse training,Ryan A Robinett Jeremy Kepner
On the prevalence of elliptic and genus one fibrations among toric hypersurface Calabi-Yau threefolds,"Yu-Chien Huang, Washington Taylor",prevalence elliptic genus one fibrations among toric hypersurface calabi-yau threefolds,Yu-Chien Huang Washington Taylor
Exploring More-Coherent Quantum Annealing,"Sergey Novikov, Robert Hinkey, Steven Disseler, James I. Basham, Tameem Albash, Andrew Risinger, David Ferguson, Daniel A. Lidar, Kenneth M. Zick",exploring more-coherent quantum annealing,Sergey Novikov Robert Hinkey Steven Disseler James I Basham Tameem Albash Andrew Risinger David Ferguson Daniel A Lidar Kenneth M Zick
Torchbearer: A Model Fitting Library for PyTorch,"Ethan Harris, Matthew Painter, Jonathon Hare",torchbearer model fitting library pytorch,Ethan Harris Matthew Painter Jonathon Hare
Irradiation induced modification of the superconducting properties of heavily boron doped diamond,"Daniel Creedon, Yi Jiang, Kumaravelu Ganesan, Alastair Stacey, Taisuke Kageura, Hiroshi Kawarada, Jeffrey McCallum, Brett Johnson, Steven Prawer, David Jamieson",irradiation induced modification superconducting property heavily boron doped diamond,Daniel Creedon Yi Jiang Kumaravelu Ganesan Alastair Stacey Taisuke Kageura Hiroshi Kawarada Jeffrey McCallum Brett Johnson Steven Prawer David Jamieson
Large U(1) charges in F-theory,"Nikhil Raghuram, Washington Taylor",large charge f-theory,Nikhil Raghuram Washington Taylor
Searching for Axion Dark Matter with Birefringent Cavities,"Hongwan Liu, Brodi D. Elwood, Matthew Evans, Jesse Thaler",searching axion dark matter birefringent cavity,Hongwan Liu Brodi D Elwood Matthew Evans Jesse Thaler
MITS: the Multi-Imaging Transient Spectrograph for SOXS,"Adam Rubin, Sagi Ben-Ami, Ofir Hershko, Michael Rappaport, Oz Diner, Avishay Gal-Yam, Sergio Campana, Riccardo Claudi, Pietro Schipani, Matteo Aliverti, Andrea Baruffolo, Federico Biondi, Anna Brucalassi, Giulio Capasso, Rosario Cosentino, Rosario Cosentino, Francesco D'Alessio, Paolo D'Avanzo, Hanindyo Kuncarayakti, Hanindyo Kuncarayakti, Matteo Munari, Salvatore Scuderi, Fabrizio Vitali, Jani Achrén, José Antonio Araiza-Duran",mit multi-imaging transient spectrograph soxs,Adam Rubin Sagi Ben-Ami Ofir Hershko Michael Rappaport Oz Diner Avishay Gal-Yam Sergio Campana Riccardo Claudi Pietro Schipani Matteo Aliverti Andrea Baruffolo Federico Biondi Anna Brucalassi Giulio Capasso Rosario Cosentino Rosario Cosentino Francesco DAlessio Paolo DAvanzo Hanindyo Kuncarayakti Hanindyo Kuncarayakti Matteo Munari Salvatore Scuderi Fabrizio Vitali Jani Achrn Jos Antonio Araiza-Duran
Relaxed Bell Inequalities with Arbitrary Measurement Dependence for Each Observer,"Andrew S. Friedman, Alan H. Guth, Michael J. W. Hall, David I. Kaiser, Jason Gallicchio",relaxed bell inequality arbitrary measurement dependence observer,Andrew S Friedman Alan H Guth Michael J W Hall David I Kaiser Jason Gallicchio
Many-body chaos and energy dynamics in holography,"Mike Blake, Richard A. Davison, Sašo Grozdanov, Hong Liu",many-body chaos energy dynamic holography,Mike Blake Richard A Davison Sao Grozdanov Hong Liu
An operational definition of quark and gluon jets,"Patrick T. Komiske, Eric M. Metodiev, Jesse Thaler",operational definition quark gluon jet,Patrick T Komiske Eric M Metodiev Jesse Thaler
Anisotropic pressure in strange quark matter in the presence of a strong nonuniform magnetic field,A. A. Isayev,anisotropic pressure strange quark matter presence strong nonuniform magnetic field,A A Isayev
A detailed proof of the Chudnovsky formula with means of basic complex analysis -- Ein ausführlicher Beweis der Chudnovsky-Formelmitelementarer Funktionentheorie,Lorenz Milla,detailed proof chudnovsky formula mean basic complex analysis ein ausfhrlicher beweis der chudnovsky-formelmitelementarer funktionentheorie,Lorenz Milla
Neutron-antineutron oscillations from lattice QCD,"Enrico Rinaldi, Sergey Syritsyn, Michael L. Wagman, Michael I. Buchoff, Chris Schroeder, Joseph Wasem",neutron-antineutron oscillation lattice qcd,Enrico Rinaldi Sergey Syritsyn Michael L Wagman Michael I Buchoff Chris Schroeder Joseph Wasem
Quantum phase transition in ultrahigh mobility SiGe/Si/SiGe two-dimensional electron system,"M. Yu. Melnikov, A. A. Shashkin, V. T. Dolgopolov, Amy Y. X. Zhu, S. V. Kravchenko, S. -H. Huang, C. W. Liu",quantum phase transition ultrahigh mobility sigesisige two-dimensional electron system,M Yu Melnikov A A Shashkin V T Dolgopolov Amy Y X Zhu S V Kravchenko S -H Huang C W Liu
Hundness versus Mottness in a three-band Hubbard-Hund model: On the origin of strong correlations in Hund metals,"Katharina M. Stadler, Gabriel Kotliar, Andreas Weichselbaum, Jan von Delft",hundness versus mottness three-band hubbard-hund model origin strong correlation hund metal,Katharina M Stadler Gabriel Kotliar Andreas Weichselbaum Jan von Delft
TheMITBag Model as an infinite mass limit,"Naiara Arrizabalaga, Loïc Le Treust, Albert Mas, Nicolas Raymond",themitbag model infinite mass limit,Naiara Arrizabalaga Loc Le Treust Albert Mas Nicolas Raymond
Mott metal-insulator transitions in pressurized layered trichalcogenides,"Heung-Sik Kim, David Vanderbilt, Kristjan Haule",mott metal-insulator transition pressurized layered trichalcogenides,Heung-Sik Kim David Vanderbilt Kristjan Haule
Precision Photon Spectra for Wino Annihilation,"Matthew Baumgart, Timothy Cohen, Emmanuel Moulin, Ian Moult, Lucia Rinchiuso, Nicholas L. Rodd, Tracy R. Slatyer, Iain W. Stewart, Varun Vaidya",precision photon spectrum wino annihilation,Matthew Baumgart Timothy Cohen Emmanuel Moulin Ian Moult Lucia Rinchiuso Nicholas L Rodd Tracy R Slatyer Iain W Stewart Varun Vaidya
Hyperscaling Internet Graph Analysis with D4M on theMITSuperCloud,"Vijay Gadepally, Jeremy Kepner, Lauren Milechin, William Arcand, David Bestor, Bill Bergeron, Chansup Byun, Matthew Hubbell, Micheal Houle, Micheal Jones, Peter Michaleas, Julie Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Siddharth Samsi, Albert Reuther",hyperscaling internet graph analysis themitsupercloud,Vijay Gadepally Jeremy Kepner Lauren Milechin William Arcand David Bestor Bill Bergeron Chansup Byun Matthew Hubbell Micheal Houle Micheal Jones Peter Michaleas Julie Mullen Andrew Prout Antonio Rosa Charles Yee Siddharth Samsi Albert Reuther
On the Equivalence between Spin and Charge Dynamics of the Fermi Hubbard Model,"Hui Zhai, Ning Sun, Jinlong Yu, Pengfei Zhang",equivalence spin charge dynamic fermi hubbard model,Hui Zhai Ning Sun Jinlong Yu Pengfei Zhang
Robust modeling of quadruply lensed quasars (and random quartets) using Witt's hyperbola,"Raymond A. Wynne, Paul L. Schechter",robust modeling quadruply lensed quasar random quartet using witts hyperbola,Raymond A Wynne Paul L Schechter
"Comment on ""Covariant Tolman-Oppenheimer-Volkoff equations. II. The anisotropic case""",A. A. Isayev,comment covariant tolman-oppenheimer-volkoff equation anisotropic case,A A Isayev
Constraints on Spin-Dependent Dark Matter Scattering with Long-Lived Mediators from TeV Observations of the Sun with HAWC,"A. Albert, R. Alfaro, C. Alvarez, R. Arceo, J. C. Arteaga-Velázquez, D. Avila Rojas, H. A. Ayala Solares, E. Belmont-Moreno, S. Y. BenZvi, C. Brisbois, K. S. Caballero-Mora, T. Capistràn, A. Carramiñana, S. Casanova, M. Castillo, J. Cotzomi, S. Coutiño de León, C. De León, E. De la Fuente, S. Dichiara, B. L. Dingus, M. A. DuVernois, J. C. Díaz-Vélez, K. Engel, O. Enríquez-Rivera",constraint spin-dependent dark matter scattering long-lived mediator tev observation sun hawc,A Albert R Alfaro C Alvarez R Arceo J C Arteaga-Velzquez D Avila Rojas H A Ayala Solares E Belmont-Moreno S Y BenZvi C Brisbois K S Caballero-Mora T Capistrn A Carramiana S Casanova M Castillo J Cotzomi S Coutio de Len C De Len E De la Fuente S Dichiara B L Dingus M A DuVernois J C Daz-Vlez K Engel O Enrquez-Rivera
First HAWC Observations of the Sun Constrain Steady TeV Gamma-Ray Emission,"A. Albert, R. Alfaro, C. Alvarez, R. Arceo, J. C. Arteaga-Velázquez, D. Avila Rojas, H. A. Ayala Solares, E. Belmont-Moreno, S. Y. BenZvi, C. Brisbois, K. S. Caballero-Mora, T. Capistràn, A. Carramiñana, S. Casanova, M. Castillo, J. Cotzomi, S. Coutiño de León, C. De León, E. De la Fuente, S. Dichiara, B. L. Dingus, M. A. DuVernois, J. C. Díaz-Vélez, K. Engel, O. Enríquez-Rivera",first hawc observation sun constrain steady tev gamma-ray emission,A Albert R Alfaro C Alvarez R Arceo J C Arteaga-Velzquez D Avila Rojas H A Ayala Solares E Belmont-Moreno S Y BenZvi C Brisbois K S Caballero-Mora T Capistrn A Carramiana S Casanova M Castillo J Cotzomi S Coutio de Len C De Len E De la Fuente S Dichiara B L Dingus M A DuVernois J C Daz-Vlez K Engel O Enrquez-Rivera
Distributionally Adversarial Attack,"Tianhang Zheng, Changyou Chen, Kui Ren",distributionally adversarial attack,Tianhang Zheng Changyou Chen Kui Ren
Hunting for Heavy Winos in the Galactic Center,"Lucia Rinchiuso, Nicholas L. Rodd, Ian Moult, Emmanuel Moulin, Matthew Baumgart, Timothy Cohen, Tracy R. Slatyer, Iain W. Stewart, Varun Vaidya",hunting heavy wino galactic center,Lucia Rinchiuso Nicholas L Rodd Ian Moult Emmanuel Moulin Matthew Baumgart Timothy Cohen Tracy R Slatyer Iain W Stewart Varun Vaidya
The ActivityNet Large-Scale Activity Recognition Challenge 2018 Summary,"Bernard Ghanem, Juan Carlos Niebles, Cees Snoek, Fabian Caba Heilbron, Humam Alwassel, Victor Escorcia, Ranjay Krishna, Shyamal Buch, Cuong Duc Dao",activitynet large-scale activity recognition challenge summary,Bernard Ghanem Juan Carlos Niebles Cees Snoek Fabian Caba Heilbron Humam Alwassel Victor Escorcia Ranjay Krishna Shyamal Buch Cuong Duc Dao
The magnetic origin of the metal-insulator transition in V2O3: Mott meets Slater,"J. Trastoy, A. Camjayi, J. del Valle, Y. Kalcheim, J. -P. Crocombette, J. E. Villegas, M. Rozenberg, D. Ravelosona, Ivan K. Schuller",magnetic origin metal-insulator transition mott meet slater,J Trastoy A Camjayi J del Valle Y Kalcheim J -P Crocombette J E Villegas M Rozenberg D Ravelosona Ivan K Schuller
Molière Scattering in Quark-Gluon Plasma: Finding Point-Like Scatterers in a Liquid,"Francesco D'Eramo, Krishna Rajagopal, Yi Yin",molire scattering quark-gluon plasma finding point-like scatterers liquid,Francesco DEramo Krishna Rajagopal Yi Yin
Anisotropic strange stars with Tolman V potential,"Dibyendu Shee, Debabrata Deb, Shounak Ghosh, Saibal Ray, B. k. Guha",anisotropic strange star tolman potential,Dibyendu Shee Debabrata Deb Shounak Ghosh Saibal Ray B k Guha
CADISHI: Fast parallel calculation of particle-pair distance histograms on CPUs and GPUs,"Klaus Reuter, Jürgen Köfinger",cadishi fast parallel calculation particle-pair distance histogram cpu gpus,Klaus Reuter Jrgen Kfinger
Efficient texture retrieval using multiscale local extrema descriptors and covariance embedding,Minh-Tan Pham,efficient texture retrieval using multiscale local extremum descriptor covariance embedding,Minh-Tan Pham
DCASE 2018 Challenge Surrey Cross-Task convolutional neural network baseline,"Qiuqiang Kong, Turab Iqbal, Yong Xu, Wenwu Wang, Mark D. Plumbley",dcase challenge surrey cross-task convolutional neural network baseline,Qiuqiang Kong Turab Iqbal Yong Xu Wenwu Wang Mark D Plumbley
Inference of Users Demographic Attributes based on Homophily in Communication Networks,"Jorge Brea, Javier Burroni, Carlos Sarraute",inference user demographic attribute based homophily communication network,Jorge Brea Javier Burroni Carlos Sarraute
Eternal Inflation and Swampland Conjectures,"Hiroki Matsui, Fuminobu Takahashi",eternal inflation swampland conjecture,Hiroki Matsui Fuminobu Takahashi
Network models in neuroscience,"Danielle S. Bassett, Perry Zurn, Joshua I. Gold",network model neuroscience,Danielle S Bassett Perry Zurn Joshua I Gold
Power Corrections for N-Jettiness Subtractions at ${\cal O}(α_s)$,"Markus A. Ebert, Ian Moult, Iain W. Stewart, Frank J. Tackmann, Gherardo Vita, Hua Xing Zhu",power correction n-jettiness subtraction cal,Markus A Ebert Ian Moult Iain W Stewart Frank J Tackmann Gherardo Vita Hua Xing Zhu
Influence of Image Classification Accuracy on Saliency Map Estimation,"Taiki Oyama, Takao Yamanaka",influence image classification accuracy saliency map estimation,Taiki Oyama Takao Yamanaka
"Gravity, time and varying constants","Syed Moeez Hassan, Viqar Husain, Babar Qureshi",gravity time varying constant,Syed Moeez Hassan Viqar Husain Babar Qureshi
Radio Stars: from kHz to THz,Lynn D. Matthews,radio star khz thz,Lynn D Matthews
A Search for Halo Axions,Edward J. Daw,search halo axions,Edward J Daw
Quantum entanglement and the geometry of spacetime,Matthew Headrick,quantum entanglement geometry spacetime,Matthew Headrick
"Interactive Supercomputing on 40,000 Cores for Machine Learning and Data Analysis","Albert Reuther, Jeremy Kepner, Chansup Byun, Siddharth Samsi, William Arcand, David Bestor, Bill Bergeron, Vijay Gadepally, Michael Houle, Matthew Hubbell, Michael Jones, Anna Klein, Lauren Milechin, Julia Mullen, Andrew Prout, Antonio Rosa, Charles Yee, Peter Michaleas",interactive supercomputing core machine learning data analysis,Albert Reuther Jeremy Kepner Chansup Byun Siddharth Samsi William Arcand David Bestor Bill Bergeron Vijay Gadepally Michael Houle Matthew Hubbell Michael Jones Anna Klein Lauren Milechin Julia Mullen Andrew Prout Antonio Rosa Charles Yee Peter Michaleas
Proton Isovector Helicity Distribution on the Lattice at Physical Pion Mass,"Huey-Wen Lin, Jiunn-Wei Chen, Xiangdong Ji, Luchang Jin, Ruizi Li, Yu-Sheng Liu, Yi-Bo Yang, Jian-Hui Zhang, Yong Zhao",proton isovector helicity distribution lattice physical pion mass,Huey-Wen Lin Jiunn-Wei Chen Xiangdong Ji Luchang Jin Ruizi Li Yu-Sheng Liu Yi-Bo Yang Jian-Hui Zhang Yong Zhao
Bit Threads in Higher Curvature Gravity,"Jonathan Harper, Matthew Headrick, Andrew Rolph",bit thread higher curvature gravity,Jonathan Harper Matthew Headrick Andrew Rolph
Robust Heartbeat Detection from Multimodal Data via CNN-based Generalizable Information Fusion,"B S Chandra, C S Sastry, S Jana",robust heartbeat detection multimodal data via cnn-based generalizable information fusion,B S Chandra C S Sastry S Jana
Flows into inflation: An effective field theory approach,"Feraz Azhar, David I. Kaiser",flow inflation effective field theory approach,Feraz Azhar David I Kaiser
Regularizing Autoencoder-Based Matrix Completion Models via Manifold Learning,"Duc Minh Nguyen, Evaggelia Tsiligianni, Robert Calderbank, Nikos Deligiannis",regularizing autoencoder-based matrix completion model via manifold learning,Duc Minh Nguyen Evaggelia Tsiligianni Robert Calderbank Nikos Deligiannis
Adversarial Robustness Toolbox v1.0.0,"Maria-Irina Nicolae, Mathieu Sinn, Minh Ngoc Tran, Beat Buesser, Ambrish Rawat, Martin Wistuba, Valentina Zantedeschi, Nathalie Baracaldo, Bryant Chen, Heiko Ludwig, Ian M. Molloy, Ben Edwards",adversarial robustness toolbox,Maria-Irina Nicolae Mathieu Sinn Minh Ngoc Tran Beat Buesser Ambrish Rawat Martin Wistuba Valentina Zantedeschi Nathalie Baracaldo Bryant Chen Heiko Ludwig Ian M Molloy Ben Edwards
Epitaxial strain modulated electronic properties of interface controlled nickelate superlattice,"S. Middey, D. Meyers, Shashank Kumar Ojha, M. Kareev, X. Liu, Y. Cao, J. W. Freeland, J. Chakhalian",epitaxial strain modulated electronic property interface controlled nickelate superlattice,S Middey D Meyers Shashank Kumar Ojha M Kareev X Liu Y Cao J W Freeland J Chakhalian
Can justice be fair when it is blind? How social network structures can promote or prevent the evolution of despotism,"Cedric Perret, Simon T. Powers, Jeremy Pitt, Emma Hart",justice fair blind social network structure promote prevent evolution despotism,Cedric Perret Simon T Powers Jeremy Pitt Emma Hart
Transport peak in thermal spectral function of ${\cal N}=4$ supersymmetric Yang-Mills plasma at intermediate coupling,"Jorge Casalderrey-Solana, Sašo Grozdanov, Andrei O. Starinets",transport peak thermal spectral function cal supersymmetric yang-mills plasma intermediate coupling,Jorge Casalderrey-Solana Sao Grozdanov Andrei O Starinets
Beyond One-hot Encoding: lower dimensional target embedding,"Pau Rodríguez, Miguel A. Bautista, Jordi Gonzàlez, Sergio Escalera",beyond one-hot encoding lower dimensional target embedding,Pau Rodrguez Miguel A Bautista Jordi Gonzlez Sergio Escalera
